,index,word,_score,_pvalue
0,793,led,81.62685810303971,1.3741545249355248e-17
1,326,chiếu,81.40537674885505,1.5330404411641583e-17
2,1056,projector,68.77249557884751,7.817581699715382e-15
3,617,halogen,67.58794391246843,1.4016122064568214e-14
4,1540,đèn_pha,66.38594350783801,2.5342755510940635e-14
5,1063,quan_điểm,65.14285714285714,4.6752132973615655e-14
6,1518,điều_hoà,65.14285714285714,4.6752132973615655e-14
7,460,cốp,65.14285714285714,4.6752132973615655e-14
8,1529,đá,65.14285714285714,4.6752132973615655e-14
9,1538,đèn,48.47224824127885,1.6895428637436765e-10
10,1453,wildtrak,46.196776871980695,5.150583265239364e-10
11,772,kém_cạnh,45.300000000000004,7.989272309028194e-10
12,1089,rush,45.300000000000004,7.989272309028194e-10
13,629,hiệu_năng,45.300000000000004,7.989272309028194e-10
14,247,bose,45.300000000000004,7.989272309028194e-10
15,118,43,45.300000000000004,7.989272309028194e-10
16,763,kia_sorento,45.300000000000004,7.989272309028194e-10
17,1190,thành,45.300000000000004,7.989272309028194e-10
18,1429,vòm,45.300000000000004,7.989272309028194e-10
19,1488,yếu,45.300000000000004,7.989272309028194e-10
20,1207,thông_thường,45.300000000000004,7.989272309028194e-10
21,1080,raptor,45.300000000000004,7.989272309028194e-10
22,491,duy_trì,45.300000000000004,7.989272309028194e-10
23,1352,tích_hợp,41.077524729698645,6.296251338817826e-09
24,926,ngoài_ra,40.501663708961864,8.340714982330923e-09
25,1464,xenon,40.12968750000003,1.0001520693766491e-08
26,1259,tiện_nghi,38.98790742897404,1.7459334896399707e-08
27,603,gương,34.542518547274,1.5218498205583892e-07
28,771,kém,33.38862538427758,2.666607449724071e-07
29,239,bi,31.725000000000023,5.98051525965758e-07
30,561,gia_tăng,31.63060731538993,6.260746141608556e-07
31,410,cá_nhân,31.63060731538993,6.260746141608556e-07
32,639,honda_jazz,31.63060731538993,6.260746141608556e-07
33,409,cá_mập,31.63060731538993,6.260746141608556e-07
34,521,dọc,31.63060731538993,6.260746141608556e-07
35,539,es,31.63060731538993,6.260746141608556e-07
36,1485,yaris,31.63060731538993,6.260746141608556e-07
37,220,amg,31.63060731538993,6.260746141608556e-07
38,414,cách_âm,30.52742149758457,1.0688703946320914e-06
39,235,ban_ngày,30.52742149758457,1.0688703946320914e-06
40,1197,thêm,30.10403726708075,1.3122353508494894e-06
41,1590,định_vị,28.384375000000013,3.0161598267076738e-06
42,321,chia,28.384375000000013,3.0161598267076738e-06
43,607,gập,27.28405365769498,5.132866567730242e-06
44,10,100km,26.93750000000002,6.067676943492612e-06
45,1100,rẽ,24.24332154359329,2.2222021993544472e-05
46,256,báo,24.24332154359329,2.2222021993544472e-05
47,817,lít,21.938435990338192,6.71836836063283e-05
48,947,nhiên_liệu,21.938435990338192,6.71836836063283e-05
49,1302,trung_tâm,21.70917874396136,7.498080508101745e-05
50,1332,trực_tiếp,21.70917874396136,7.498080508101745e-05
51,962,nhược_điểm,21.70917874396136,7.498080508101745e-05
52,1462,xe_hơi,21.70917874396136,7.498080508101745e-05
53,1490,yếu_thế,21.70917874396136,7.498080508101745e-05
54,1174,thiếu_sót,21.70917874396136,7.498080508101745e-05
55,494,dàn,21.70917874396136,7.498080508101745e-05
56,571,gió,21.277007418909612,9.221193741575838e-05
57,1397,tỳ,21.277007418909612,9.221193741575838e-05
58,472,cửa,21.277007418909612,9.221193741575838e-05
59,1524,điện,21.277007418909612,9.221193741575838e-05
60,284,bệ,21.277007418909612,9.221193741575838e-05
61,1107,sa2,20.698257418909613,0.00012161163602822256
62,1426,vây,20.538762364849322,0.00013124187427207687
63,943,nhan,20.538762364849322,0.00013124187427207687
64,71,250,20.538762364849322,0.00013124187427207687
65,1508,ăng,20.538762364849322,0.00013124187427207687
66,1165,ten,20.538762364849322,0.00013124187427207687
67,868,mua,20.538762364849322,0.00013124187427207687
68,1618,đủ,20.538762364849322,0.00013124187427207687
69,691,hệ_thống,18.865411969940986,0.00029148774081163203
70,1499,âm_thanh,17.629035829307583,0.0005245345972499639
71,363,chỉnh,16.829470755693603,0.0007661673598591793
72,511,dải_đèn,16.72968599033819,0.0008032153962810215
73,1534,đánh_giá,16.677812846940963,0.0008231724849573876
74,461,cốt,16.664452495974253,0.0008283918867591352
75,1613,đội_ngũ,15.052018633540374,0.0017727307268928117
76,1465,xi,15.052018633540374,0.0017727307268928117
77,238,benz,15.052018633540374,0.0017727307268928117
78,91,300,15.052018633540374,0.0017727307268928117
79,796,lexus,15.052018633540374,0.0017727307268928117
80,263,bù,15.052018633540374,0.0017727307268928117
81,1395,tự_động,15.027228809837538,0.0017935272911061512
82,361,chỉ,14.833619330381119,0.001964496716253455
83,684,hậu,14.162768106861394,0.0026917644883295627
84,224,apple,13.924476650563616,0.003009776281969028
85,910,mở_rộng,13.924476650563616,0.003009776281969028
86,20,12,13.924476650563616,0.003009776281969028
87,310,carplay,13.924476650563616,0.003009776281969028
88,1564,đại_diện,13.924476650563616,0.003009776281969028
89,894,mặt_bằng,13.924476650563616,0.003009776281969028
90,1079,ranger,13.924476650563616,0.003009776281969028
91,781,kết_hợp,13.924476650563616,0.003009776281969028
92,782,kết_nối,13.924476650563616,0.003009776281969028
93,507,dạng,13.658511747913938,0.0034088260147981846
94,766,kiêm,13.46875000000001,0.003725155507659496
95,259,bình_chọn,13.46875000000001,0.003725155507659496
96,1299,trung_bình,13.46875000000001,0.003725155507659496
97,1257,tiện_dụng,13.46875000000001,0.003725155507659496
98,3,055,13.46875000000001,0.003725155507659496
99,151,612,13.46875000000001,0.003725155507659496
100,1306,trình_làng,13.46875000000001,0.003725155507659496
101,1288,trang_hoàng,13.46875000000001,0.003725155507659496
